instancia,execucao,bestDistance,tempoSegundos,rota
Problema 1 (Km),1,1969.90,2.31,"37 19 32 38 34 41 25 31 15 33 18 6 16 30 24 35 39 47 21 11 9 10 4 1 2 3 22 0 7 8 20 29 5 26 40 43 27 14 17 44 45 13 42 28 23 12 46 36"
Problema 1 (Km),2,2038.00,2.85,"0 1 10 9 11 8 7 20 21 47 39 35 24 30 16 6 18 19 37 32 15 33 31 25 41 34 38 46 36 12 23 28 42 13 45 4 40 43 44 17 14 27 26 5 29 3 2 22"
Problema 1 (Km),3,1942.30,4.05,"18 6 16 30 24 35 39 47 21 37 11 9 10 4 1 2 3 22 0 7 8 20 29 5 26 40 43 27 14 17 44 45 13 42 28 23 12 36 46 38 34 41 25 31 33 15 32 19"
Problema 1 (Km),4,2005.60,7.99,"31 25 41 34 38 46 36 12 23 28 42 13 45 44 17 14 27 26 5 29 40 43 4 10 9 0 1 2 3 22 20 7 8 11 37 21 47 39 35 24 30 16 6 18 19 32 15 33"
Problema 1 (Km),5,1992.60,7.99,"15 32 19 18 6 16 30 24 35 39 47 21 8 7 20 29 5 26 40 43 27 14 17 44 45 13 42 28 23 4 10 1 2 3 22 0 9 11 37 12 36 46 38 34 41 25 31 33"
Problema 1 (Km),6,2014.80,8.12,"46 38 34 41 25 31 33 15 32 18 6 30 16 19 37 24 35 39 47 21 11 8 7 20 22 3 2 1 0 9 10 4 40 29 5 26 43 27 14 17 44 45 13 42 28 23 12 36"
Problema 1 (Km),7,1998.50,5.19,"15 33 31 25 41 34 38 46 36 12 23 28 42 13 4 45 44 17 14 27 43 40 26 5 29 3 2 22 1 10 9 0 7 20 8 11 37 21 35 47 39 24 30 16 6 18 19 32"
Problema 1 (Km),8,1942.30,6.32,"46 38 34 41 25 31 33 15 32 19 18 6 16 30 24 35 39 47 21 37 11 9 10 4 1 2 3 22 0 7 8 20 29 5 26 40 43 27 14 17 44 45 13 42 28 23 12 36"
Problema 1 (Km),9,2008.70,4.25,"18 19 32 15 33 31 25 41 34 38 46 36 12 23 28 42 13 45 4 1 10 9 0 22 2 3 40 43 44 17 14 27 26 5 29 20 7 8 11 37 21 47 39 35 24 30 16 6"
Problema 1 (Km),10,2071.80,3.40,"45 13 42 28 23 37 21 47 39 35 24 30 16 6 18 19 32 15 33 31 25 41 34 38 46 36 12 4 1 10 9 11 8 20 7 0 22 2 3 29 5 26 40 43 27 14 17 44"
Problema 1 (Km),11,1978.00,5.13,"37 21 47 39 35 24 30 16 6 18 19 32 15 33 31 25 41 34 38 46 36 12 23 28 42 13 45 44 17 14 27 43 40 26 5 29 3 2 22 1 4 10 9 0 7 20 8 11"
Problema 1 (Km),12,1997.60,4.65,"45 44 17 14 27 43 40 26 5 29 3 2 22 1 4 10 9 11 0 7 8 20 21 47 39 35 24 30 16 6 18 19 37 32 15 33 31 25 41 34 38 46 36 12 23 28 42 13"
Problema 1 (Km),13,1980.50,4.17,"31 15 33 18 6 16 30 24 35 39 47 21 20 7 8 11 9 10 4 1 0 22 2 3 29 5 26 40 43 27 14 17 44 45 13 42 28 23 12 46 36 37 19 32 38 34 41 25"
Problema 1 (Km),14,2035.00,5.39,"16 6 18 33 15 31 25 41 34 38 32 19 37 36 46 12 23 28 42 13 45 4 10 1 22 2 3 40 43 44 17 14 27 26 5 29 20 8 7 0 9 11 21 47 39 35 24 30"
Problema 1 (Km),15,1949.90,3.69,"8 7 0 9 10 4 1 2 3 22 20 29 5 26 40 43 27 14 17 44 45 13 42 28 23 12 36 46 38 34 41 25 31 33 15 32 19 18 6 16 30 24 35 39 47 21 37 11"
Problema 1 (Km),16,1980.50,3.61,"28 42 13 45 44 17 14 27 43 40 26 5 29 3 2 22 0 1 4 10 9 11 8 7 20 21 47 39 35 24 30 16 6 18 33 15 31 25 41 34 38 32 19 37 36 46 12 23"
